TransactionID,Date,CustomerID,ProductID,StoreID,Quantity,Discount,PaymentMethod,FirstName,LastName,Gender,BirthDate,City_x,JoinDate,ProductName,Category,SubCategory,UnitPrice,CostPrice,StoreName,City_y,Region,Year,Month,MonthName,Day,DayName,Week,Quarter,Revenue,Cost,Profit,DiscountAmount,FinalSales,ProfitMargin
T00001,2024-06-18,C160,P014,S003,1,0.1,Bank Transfer,Meagan,Macdonald,M,1991-09-10,Port Jacob,2021-10-27,Add Clothing,Fashion,Clothing,1342.75,797.94,MegaMart New Michele,New Michele,West,2024,6,June,18,Tuesday,25,2,1342.75,797.94,544.81,134.275,1208.475,40.574194749581075
T00002,2023-11-02,C171,P030,S004,3,0.15,Bank Transfer,Christina,Dominguez,M,1993-03-15,Robertsborough,2025-07-28,National Watches,Fashion,Watches,29.24,15.28,MegaMart Brianahaven,Brianahaven,North,2023,11,November,2,Thursday,44,4,87.72,45.839999999999996,41.88,13.158,74.562,47.742818057455544
T00003,2024-03-28,C142,P002,S002,2,0.15,Mobile Money,Suzanne,Fox,M,2005-07-25,Joelborough,2020-12-27,Audience Television,Electronics,Television,818.76,527.62,MegaMart Peckmouth,Peckmouth,East,2024,3,March,28,Thursday,13,1,1637.52,1055.24,582.28,245.628,1391.892,35.558649665347595
T00004,2024-06-15,C174,P050,S002,5,0.1,Mobile Money,Scott,Howell,M,2005-07-07,South Jennifer,2025-08-28,Maybe Footwear,Fashion,Footwear,1044.64,775.07,MegaMart Peckmouth,Peckmouth,East,2024,6,June,15,Saturday,24,2,5223.200000000001,3875.3500000000004,1347.8500000000004,522.32,4700.880000000001,25.805062030938892
T00005,2024-08-29,C141,P036,S001,3,0.1,Credit Card,Adam,Lucas,F,1978-08-06,Allisonmouth,2024-01-07,New Watches,Fashion,Watches,1501.46,1167.73,MegaMart Jimenezborough,Jimenezborough,South,2024,8,August,29,Thursday,35,3,4504.38,3503.19,1001.19,450.43800000000005,4053.942,22.2270323551743
T00006,2025-03-28,C111,P036,S005,5,0.1,Mobile Money,Dylan,Booker,M,1993-07-13,Justintown,2022-01-12,New Watches,Fashion,Watches,1501.46,1167.73,MegaMart Johnmouth,Johnmouth,East,2025,3,March,28,Friday,13,1,7507.3,5838.65,1668.6500000000005,750.73,6756.57,22.227032355174302
T00007,2024-11-09,C114,P009,S004,2,0.15,Credit Card,Miranda,Rodriguez,F,1980-07-04,Adkinsport,2025-08-23,Us Snacks,Groceries,Snacks,123.19,80.36,MegaMart Brianahaven,Brianahaven,North,2024,11,November,9,Saturday,45,4,246.38,160.72,85.66,36.957,209.423,34.76743242146278
T00008,2024-05-28,C169,P005,S001,3,0.1,Cash,Travis,Watson,M,1967-06-15,Christopherburgh,2021-12-23,Knowledge Bags,Fashion,Bags,1396.22,1004.09,MegaMart Jimenezborough,Jimenezborough,South,2024,5,May,28,Tuesday,22,2,4188.66,3012.27,1176.3899999999999,418.866,3769.794,28.085115526206472
T00009,2024-09-04,C193,P035,S002,3,0.05,Credit Card,Donald,Meza,F,1969-11-06,North Kelly,2020-12-08,Chair Laptop,Electronics,Laptop,1562.43,1195.63,MegaMart Peckmouth,Peckmouth,East,2024,9,September,4,Wednesday,36,3,4687.29,3586.8900000000003,1100.3999999999996,234.36450000000002,4452.9255,23.47625173607777
T00010,2024-06-16,C038,P045,S001,1,0.05,Mobile Money,Tracey,Davis,M,1974-04-19,Wilsonbury,2021-05-10,Set Dairy,Groceries,Dairy,1879.08,1004.56,MegaMart Jimenezborough,Jimenezborough,South,2024,6,June,16,Sunday,24,2,1879.08,1004.56,874.52,93.95400000000001,1785.126,46.53979607041744
T00011,2025-03-09,C157,P022,S001,4,0.15,Credit Card,Connie,Terry,M,1965-12-16,Port Patriciaburgh,2022-12-22,How Vegetables,Groceries,Vegetables,25.57,19.05,MegaMart Jimenezborough,Jimenezborough,South,2025,3,March,9,Sunday,10,1,102.28,76.2,26.08,15.341999999999999,86.938,25.4986312084474
T00012,2024-06-06,C184,P042,S004,4,0.15,Credit Card,Daniel,Mcintyre,M,2003-04-13,West Katrina,2021-04-19,Maybe Clothing,Fashion,Clothing,453.62,316.63,MegaMart Brianahaven,Brianahaven,North,2024,6,June,6,Thursday,23,2,1814.48,1266.52,547.96,272.17199999999997,1542.308,30.199285745778408
T00013,2023-10-02,C038,P048,S001,1,0.15,Credit Card,Tracey,Davis,M,1974-04-19,Wilsonbury,2021-05-10,Nor Bags,Fashion,Bags,1216.36,794.8,MegaMart Jimenezborough,Jimenezborough,South,2023,10,October,2,Monday,40,4,1216.36,794.8,421.55999999999995,182.45399999999998,1033.906,34.6575027130126
T00014,2024-10-28,C046,P034,S005,4,0.0,Credit Card,Dennis,Poole,M,1964-01-21,New Jontown,2022-06-25,Everything Laptop,Electronics,Laptop,428.05,246.07,MegaMart Johnmouth,Johnmouth,East,2024,10,October,28,Monday,44,4,1712.2,984.28,727.9200000000001,0.0,1712.2,42.513725032122416
T00015,2025-03-23,C032,P016,S004,2,0.15,Bank Transfer,Valerie,Macdonald,M,1992-11-09,East Shelby,2021-01-12,House Accessories,Fashion,Accessories,1858.75,1451.16,MegaMart Brianahaven,Brianahaven,North,2025,3,March,23,Sunday,12,1,3717.5,2902.32,815.1799999999998,557.625,3159.875,21.928177538668457
T00016,2023-12-14,C194,P024,S004,5,0.15,Mobile Money,Ann,West,M,2000-09-02,Craigshire,2022-08-05,Him Smartphone,Electronics,Smartphone,1487.41,813.07,MegaMart Brianahaven,Brianahaven,North,2023,12,December,14,Thursday,50,4,7437.05,4065.3500000000004,3371.7,1115.5575,6321.4925,45.33652456283069
T00017,2024-12-24,C041,P026,S004,4,0.1,Credit Card,Melissa,Rodgers,F,1980-07-03,North Sharontown,2023-01-24,Behavior Dairy,Groceries,Dairy,1015.76,584.4,MegaMart Brianahaven,Brianahaven,North,2024,12,December,24,Tuesday,52,4,4063.04,2337.6,1725.44,406.30400000000003,3656.736,42.466724423092074
T00018,2025-05-30,C164,P033,S003,5,0.15,Credit Card,Linda,Vasquez,M,1968-07-28,North Rodney,2020-12-21,Beat Accessories,Fashion,Accessories,1798.97,1329.15,MegaMart New Michele,New Michele,West,2025,5,May,30,Friday,22,2,8994.85,6645.75,2349.1000000000004,1349.2275,7645.6225,26.116055298309593
T00019,2025-04-21,C071,P011,S004,1,0.1,Credit Card,Denise,Gutierrez,M,1962-06-18,New Manuelville,2021-05-24,Either Headphones,Electronics,Headphones,248.57,190.67,MegaMart Brianahaven,Brianahaven,North,2025,4,April,21,Monday,17,2,248.57,190.67,57.900000000000006,24.857,223.713,23.29323731745585
T00020,2025-01-07,C070,P007,S003,3,0.0,Credit Card,Eric,Bryan,M,1971-10-24,Taylorhaven,2021-03-04,Understand Camera,Electronics,Camera,1474.12,764.02,MegaMart New Michele,New Michele,West,2025,1,January,7,Tuesday,2,1,4422.36,2292.06,2130.2999999999997,0.0,4422.36,48.17111225680406
T00021,2024-11-16,C039,P018,S002,4,0.05,Credit Card,Nancy,Savage,F,1996-11-02,Port Sandra,2022-10-17,Democratic Smartphone,Electronics,Smartphone,1079.89,703.83,MegaMart Peckmouth,Peckmouth,East,2024,11,November,16,Saturday,46,4,4319.56,2815.32,1504.2400000000002,215.97800000000004,4103.582,34.8239172508311
T00022,2024-11-26,C017,P022,S004,4,0.1,Mobile Money,Vanessa,Anderson,F,1982-03-11,Peterside,2024-09-25,How Vegetables,Groceries,Vegetables,25.57,19.05,MegaMart Brianahaven,Brianahaven,North,2024,11,November,26,Tuesday,48,4,102.28,76.2,26.08,10.228000000000002,92.05199999999999,25.4986312084474
T00023,2024-08-02,C107,P023,S001,2,0.15,Mobile Money,Victoria,Hansen,F,1995-10-08,Lake Dale,2023-07-17,And Footwear,Fashion,Footwear,1878.47,1014.91,MegaMart Jimenezborough,Jimenezborough,South,2024,8,August,2,Friday,31,3,3756.94,2029.82,1727.1200000000001,563.5409999999999,3193.3990000000003,45.97145549303423
T00024,2025-03-30,C198,P013,S005,1,0.15,Mobile Money,Jessica,Mullins,M,1986-01-23,Jessicaside,2022-12-10,World Watches,Fashion,Watches,1134.8,675.1,MegaMart Johnmouth,Johnmouth,East,2025,3,March,30,Sunday,13,1,1134.8,675.1,459.69999999999993,170.22,964.5799999999999,40.50934085301374
T00025,2024-06-02,C002,P039,S003,3,0.15,Mobile Money,Michael,Miller,M,1959-08-18,New Gabrielleport,2020-11-03,Church Clothing,Fashion,Clothing,540.94,398.25,MegaMart New Michele,New Michele,West,2024,6,June,2,Sunday,22,2,1622.8200000000002,1194.75,428.07000000000016,243.423,1379.3970000000002,26.378156542315235
T00026,2024-10-26,C138,P021,S005,5,0.05,Mobile Money,Breanna,Moore,F,1961-09-28,Melissaberg,2021-05-10,Firm Dairy,Groceries,Dairy,1227.24,977.09,MegaMart Johnmouth,Johnmouth,East,2024,10,October,26,Saturday,43,4,6136.2,4885.45,1250.75,306.81,5829.389999999999,20.38313614288974
T00027,2024-01-23,C057,P039,S003,4,0.15,Cash,Julie,Gibson,F,1998-09-26,Williamsville,2023-03-26,Church Clothing,Fashion,Clothing,540.94,398.25,MegaMart New Michele,New Michele,West,2024,1,January,23,Tuesday,4,1,2163.76,1593.0,570.7600000000002,324.564,1839.1960000000001,26.378156542315235
T00028,2024-12-15,C100,P020,S003,4,0.05,Mobile Money,Sean,Hart,F,1954-09-28,North Jason,2024-11-06,Simple Accessories,Fashion,Accessories,323.92,242.98,MegaMart New Michele,New Michele,West,2024,12,December,15,Sunday,50,4,1295.68,971.92,323.7600000000001,64.784,1230.896,24.987651271919
T00029,2025-04-09,C033,P013,S005,5,0.0,Mobile Money,Jenny,Beck,F,1978-07-27,Lake Cody,2025-03-17,World Watches,Fashion,Watches,1134.8,675.1,MegaMart Johnmouth,Johnmouth,East,2025,4,April,9,Wednesday,15,2,5674.0,3375.5,2298.5,0.0,5674.0,40.50934085301375
T00030,2025-02-26,C152,P028,S005,1,0.0,Mobile Money,Brittany,Green,M,1987-06-17,Port Jeffreyside,2021-03-06,Deal Smartphone,Electronics,Smartphone,673.78,363.33,MegaMart Johnmouth,Johnmouth,East,2025,2,February,26,Wednesday,9,1,673.78,363.33,310.45,0.0,673.78,46.07587046216866
T00031,2024-12-16,C035,P019,S004,2,0.0,Bank Transfer,Kimberly,King,F,1991-04-19,North George,2023-03-22,Traditional Laptop,Electronics,Laptop,1762.92,1346.48,MegaMart Brianahaven,Brianahaven,North,2024,12,December,16,Monday,51,4,3525.84,2692.96,832.8800000000001,0.0,3525.84,23.622172305039367
T00032,2025-01-16,C098,P028,S003,2,0.15,Bank Transfer,Lisa,Vega,F,2005-01-09,East Colinmouth,2023-05-22,Deal Smartphone,Electronics,Smartphone,673.78,363.33,MegaMart New Michele,New Michele,West,2025,1,January,16,Thursday,3,1,1347.56,726.66,620.9,202.134,1145.426,46.07587046216866
T00033,2025-07-20,C087,P021,S004,3,0.15,Bank Transfer,Laurie,Mason,F,1975-06-22,Berrymouth,2025-07-02,Firm Dairy,Groceries,Dairy,1227.24,977.09,MegaMart Brianahaven,Brianahaven,North,2025,7,July,20,Sunday,29,3,3681.7200000000003,2931.27,750.4500000000003,552.258,3129.4620000000004,20.383136142889743
T00034,2023-11-13,C021,P037,S004,1,0.0,Bank Transfer,Debbie,Martin,M,1993-11-17,Meganmouth,2022-01-22,Book Television,Electronics,Television,1952.65,1451.27,MegaMart Brianahaven,Brianahaven,North,2023,11,November,13,Monday,46,4,1952.65,1451.27,501.3800000000001,0.0,1952.65,25.67690062223133
